conf,P,R,F1
0.16776,0.7276785714285714,0.8828020953564769,0.797769486901753
0.1578,0.7171412136899626,0.8855544703897719,0.7924993047554726
0.14867,0.707320520067835,0.8887507768800498,0.7877237851662404
0.14048,0.6976938038343985,0.8917695107875344,0.782883198877587
0.13238,0.6882513661202185,0.8946106721122259,0.7779793846272633
0.12505,0.6787825853265251,0.8970079019799343,0.7727846406853559
0.11785,0.6695531464833422,0.8993163455562461,0.7676101701337577
0.11189,0.6611371324486078,0.9023350794637308,0.763131218321757
0.10586,0.6525358606557377,0.9047323093314392,0.7582127311283903
0.10102,0.6445775535939471,0.9076622569475273,0.7538251668325775
0.09666,0.6358047690014903,0.9090828376098731,0.7482734680454561
0.09221,0.6274773672620504,0.9107697771464086,0.7430371953207054
0.08819,0.619334619093539,0.9123679303915475,0.7378208580147191
0.08357,0.6116654787360418,0.914321228802273,0.7329798213459555
0.07939,0.6041569086651054,0.9161857409216017,0.7281515718166743
0.07583,0.5966866774416993,0.9177838941667407,0.7231958582572497
0.07239,0.5891393442622951,0.9189381159548966,0.7179771773438314
0.06935,0.5820794969683359,0.9205362692000355,0.7131900257953568
0.06629,0.5748781568453699,0.9216017046967948,0.7080732630717282
0.06356,0.5684699453551912,0.9236437893989168,0.7037851368264384
0.06092,0.5617989646246765,0.9249755837698659,0.6990304290938372
0.05859,0.5551948051948052,0.9261298055580218,0.6942198262952981
0.05638,0.5489701555275326,0.9276391725117642,0.6897507839577488
0.05435,0.5427474579788338,0.9288821805913167,0.6851566848947248
0.05227,0.5367827868852459,0.9303027612536624,0.6807653575025175
0.0504,0.5307124063954665,0.9312794104590252,0.6761207980146324
0.04851,0.5248400639744102,0.9323448459557844,0.6716126762815388
0.04679,0.5187635789057871,0.9327887774127674,0.6667301285102332
0.04518,0.5131245120999219,0.9337654266181301,0.6623004502660663
0.04378,0.5076663452266152,0.9348308621148894,0.6580008124238352
0.04225,0.5023827678231033,0.9359850839030454,0.6538282630942412
0.04105,0.497456189937818,0.9375832371481844,0.6500261610907636
0.03986,0.49236214605067063,0.9386486726449437,0.6459141591568657
0.0387,0.4873825750598637,0.939714108141703,0.6418630037296462
0.03745,0.4822859744990893,0.9403356121814792,0.637570357884598
0.03618,0.47734642406773553,0.9410459025126521,0.6334000657363971
0.03523,0.472647897362794,0.9420225517180147,0.6294681261309365
0.0342,0.46822668781949583,0.9433543460889638,0.6258283021646297
0.03324,0.4636815486571329,0.94424220900293,0.6219480101757362
0.03223,0.4592320966350302,0.945130071916896,0.6181226954678745
0.03131,0.45491803278688525,0.9461067211222587,0.6144088563438751
0.03039,0.4503971607233395,0.9464618662878451,0.6103461109043543
0.02951,0.4462194713951154,0.9473497292018113,0.606680881307747
0.02873,0.44216757741347906,0.9483263784071739,0.6031226178040034
0.02798,0.4379508196721312,0.948770309864157,0.5992765611417996
0.02722,0.43389871774062655,0.9493918139039332,0.5955941738379703
0.02648,0.4298457087753134,0.9498357453609163,0.5918508478327018
0.02573,0.4260703485596053,0.9507236082748823,0.5884324769885974
0.02505,0.42224936948297603,0.9513451123146586,0.5848958759791479
0.02435,0.41850117096018735,0.9519666163544349,0.5814060678361305
0.02378,0.414901020723786,0.9527656929770043,0.5780698682899238
0.0232,0.4111383483989582,0.9530320518511942,0.5744561290840491
0.02261,0.40744535519125685,0.953298410725384,0.5708892728964509
0.02201,0.40393292224394645,0.9538311284737636,0.5675268760400434
0.0215,0.40048435171385993,0.9543638462221433,0.5642075427131723
0.02101,0.39698715108551175,0.9546302050963331,0.5607739849271128
0.02055,0.3936255854800937,0.9550741365533162,0.5574874970848125
0.0201,0.3904323226461628,0.9557844268844891,0.5543968070039913
0.01967,0.3871512798389416,0.9561395720500755,0.5511399984646485
0.01924,0.3839272986457591,0.9564947172156619,0.5479236070493095
0.01882,0.3807235726399096,0.9567610760898517,0.5446963378573053
0.01842,0.37760963990472185,0.9571162212554382,0.5415588656401497
0.01802,0.37461794943039733,0.9576489390038178,0.5385594807140183
0.01767,0.37177985948477754,0.9584480156263873,0.5357453038536937
0.01729,0.36875,0.9586255882091805,0.5326196877389439
0.01689,0.36587183308494786,0.9590695196661635,0.5296785740554589
0.01652,0.36300725611394785,0.9594246648317499,0.5267236967171163
0.0162,0.3602558976409436,0.9599573825801296,0.5239006662628709
0.01583,0.35751586462189316,0.9604013140371127,0.521062646017486
0.01553,0.35498360655737704,0.9612891769510787,0.5184972343940809
0.01523,0.3521662763466042,0.9612891769510787,0.515485514319042
0.01492,0.34949012520975864,0.9615555358252685,0.5126505881517598
0.01459,0.34685578893442626,0.9618218946994584,0.5098482174373457
0.01429,0.3442622950819672,0.9620882535736482,0.5070778445915908
0.01401,0.3417402269861286,0.9624433987392347,0.5043854547146547
0.01375,0.33928794894256037,0.9628873301962178,0.5017697272537996
0.01349,0.3368417784401391,0.9632424753618042,0.49913735593844166
0.01324,0.3343707629730063,0.9634200479445973,0.4964428685805787
0.01299,0.3318754587717152,0.9634200479445973,0.49368729952910667
0.01275,0.32944748026715237,0.963508834235994,0.4910073976879397
0.01253,0.327145612343298,0.9638639794015804,0.4884919117150764
0.01228,0.3248474332894579,0.9641303382757702,0.48595914166163207
0.01205,0.32249346638156334,0.9641303382757702,0.4833203516190053
0.01184,0.32035027715532494,0.9646630560241499,0.4809756745390558
0.01164,0.3180913348946136,0.9647518423155464,0.478436034608018
0.01144,0.3159806999186141,0.9651957737725295,0.4760987146079226
0.01125,0.3138420688062803,0.9654621326467193,0.4736991135022108
0.01105,0.3117906683480454,0.9659060641037024,0.47141154804463226
0.01085,0.30968237704918034,0.9660836366864956,0.4690187288519149
0.01069,0.3076314301865461,0.9663499955606855,0.46669382329610026
0.01051,0.3056366494498091,0.9667051407262719,0.46443577110926276
0.01035,0.3036411285825806,0.9669714996004617,0.4621586641488617
0.01019,0.30164488258750555,0.9671490721832549,0.4598627968337732
0.01004,0.2997579491693256,0.9675930036402379,0.4577164577164578
0.00988,0.2978415300546448,0.9678593625144277,0.4555084303115141
0.00973,0.29589621105200303,0.9679481488058244,0.4532396532729125
0.00958,0.29405737704918034,0.9683032939714108,0.451117867262311
0.00944,0.29218900675024106,0.9684808665542041,0.44893507562506424
0.00929,0.29031828826910794,0.9685696528456006,0.4467331435942587
0.00917,0.28852459016393445,0.9688360117197905,0.44463459853717174
0.00901,0.28672761664564944,0.9690135843025837,0.4425162689804772
0.00888,0.28500574292575964,0.9693687294681701,0.4404994855863308
0.00875,0.28322784810126583,0.9694575157595667,0.43838201344976413
0.00861,0.2814723167336839,0.9695463020509634,0.43628518348348944
0.00849,0.2797387295081967,0.9696350883423599,0.43420869530644296
